"date";"value";"date2";"date3"
12416;6,87622660240769;2003-12-30;2003,91666666667
12416;9,28784297866384;2003-12-30;2003,91666666667
12416;11,8570848475011;2003-12-30;2003,91666666667
12416;3,93266575293194;2003-12-30;2003,91666666667
12416;5,44569547402258;2003-12-30;2003,91666666667
12416;11;2003-12-30;2003,91666666667
12416;8;2003-12-30;2003,91666666667
12416;6;2003-12-30;2003,91666666667
12416;-1;2003-12-30;2003,91666666667
12416;11;2003-12-30;2003,91666666667
12417;4,68351296574337;2003-12-31;2003,91666666667
12417;3,41073130263497;2003-12-31;2003,91666666667
12417;7,45516291799305;2003-12-31;2003,91666666667
12417;12,3882021710292;2003-12-31;2003,91666666667
12417;8,42833323535636;2003-12-31;2003,91666666667
12417;6;2003-12-31;2003,91666666667
12417;4;2003-12-31;2003,91666666667
12417;6;2003-12-31;2003,91666666667
12417;7;2003-12-31;2003,91666666667
12417;3;2003-12-31;2003,91666666667
12418;11,3588683642794;2004-01-01;2004
12418;11,3301609585348;2004-01-01;2004
12418;5,16179807691126;2004-01-01;2004
12418;10,6297010509774;2004-01-01;2004
12418;8,17878700679318;2004-01-01;2004
12418;8;2004-01-01;2004
12418;4;2004-01-01;2004
12418;8;2004-01-01;2004
12418;5;2004-01-01;2004
12418;11;2004-01-01;2004
12419;6,34011114264072;2004-01-02;2004
12419;5,84448872711866;2004-01-02;2004
12419;4,53211435446708;2004-01-02;2004
12419;6,58141230184237;2004-01-02;2004
12419;3,50573204965223;2004-01-02;2004
12419;5;2004-01-02;2004
12419;16;2004-01-02;2004
12419;4;2004-01-02;2004
12419;12;2004-01-02;2004
12419;5;2004-01-02;2004
12420;5,64088324445431;2004-01-03;2004
12420;9,65530934652962;2004-01-03;2004
12420;5,58163718315946;2004-01-03;2004
12420;4,77908647529094;2004-01-03;2004
12420;4,66846948240029;2004-01-03;2004
12420;5;2004-01-03;2004
12420;13;2004-01-03;2004
12420;10;2004-01-03;2004
12420;6;2004-01-03;2004
12420;6;2004-01-03;2004
12421;9,59274391535047;2004-01-04;2004
12421;7,54376410301625;2004-01-04;2004
12421;9,74695621319507;2004-01-04;2004
12421;9,09712402936794;2004-01-04;2004
12421;3,89935742287204;2004-01-04;2004
12421;2;2004-01-04;2004
12421;7;2004-01-04;2004
12421;7;2004-01-04;2004
12421;8;2004-01-04;2004
12421;2;2004-01-04;2004
12422;8,13740879773332;2004-01-05;2004
12422;3,3035302636452;2004-01-05;2004
12422;4,7071603230441;2004-01-05;2004
12422;9,71695041227462;2004-01-05;2004
12422;6,33988144772224;2004-01-05;2004
12422;3;2004-01-05;2004
12422;12;2004-01-05;2004
12422;8;2004-01-05;2004
12422;7;2004-01-05;2004
12422;10;2004-01-05;2004
12423;2,25757871931657;2004-01-06;2004
12423;5,68661250668789;2004-01-06;2004
12423;7,37844720509155;2004-01-06;2004
12423;3,04563974409397;2004-01-06;2004
12423;3,11375154147944;2004-01-06;2004
12423;3;2004-01-06;2004
12423;10;2004-01-06;2004
12423;6;2004-01-06;2004
12423;13;2004-01-06;2004
12423;9;2004-01-06;2004
12424;3,98533285362991;2004-01-07;2004
12424;5,46490477786833;2004-01-07;2004
12424;3,37854276153509;2004-01-07;2004
12424;5,69919939907831;2004-01-07;2004
12424;8,93214541525459;2004-01-07;2004
12424;8;2004-01-07;2004
12424;10;2004-01-07;2004
12424;8;2004-01-07;2004
12424;0;2004-01-07;2004
12424;11;2004-01-07;2004
12425;13,4778106185949;2004-01-08;2004
12425;12,0417111811499;2004-01-08;2004
12425;7,42637987291617;2004-01-08;2004
12425;14,8004747561437;2004-01-08;2004
12425;8,27796736934854;2004-01-08;2004
12425;5;2004-01-08;2004
12425;9;2004-01-08;2004
12425;8;2004-01-08;2004
12425;-1;2004-01-08;2004
12425;11;2004-01-08;2004
12426;6,94703653044901;2004-01-09;2004
12426;3,72729977104363;2004-01-09;2004
12426;4,05644415215931;2004-01-09;2004
12426;10,8959843176489;2004-01-09;2004
12426;3,294880290922;2004-01-09;2004
12426;5;2004-01-09;2004
12426;6;2004-01-09;2004
12426;9;2004-01-09;2004
12426;6;2004-01-09;2004
12426;7;2004-01-09;2004
12427;3,46954516478206;2004-01-10;2004
12427;10,0994702995202;2004-01-10;2004
12427;9,68877381416856;2004-01-10;2004
12427;13,7422859441682;2004-01-10;2004
12427;11,7316910521548;2004-01-10;2004
12427;4;2004-01-10;2004
12427;7;2004-01-10;2004
12427;10;2004-01-10;2004
12427;7;2004-01-10;2004
12427;8;2004-01-10;2004
12428;2,15591052122706;2004-01-11;2004
12428;3,63610904964232;2004-01-11;2004
12428;6,60294674712927;2004-01-11;2004
12428;4,06920827788353;2004-01-11;2004
12428;5,96672232715085;2004-01-11;2004
12428;6;2004-01-11;2004
12428;12;2004-01-11;2004
12428;10;2004-01-11;2004
12428;8;2004-01-11;2004
12428;9;2004-01-11;2004
12429;5,97110148009527;2004-01-12;2004
12429;9,59027776553478;2004-01-12;2004
12429;7,75716745632549;2004-01-12;2004
12429;7,25692761474395;2004-01-12;2004
12429;8,37715577462378;2004-01-12;2004
12429;9;2004-01-12;2004
12429;6;2004-01-12;2004
12429;6;2004-01-12;2004
12429;1;2004-01-12;2004
12429;1;2004-01-12;2004
12430;6,49282217527031;2004-01-13;2004
12430;9,71152920837895;2004-01-13;2004
12430;6,92061555889203;2004-01-13;2004
12430;10,1049369096973;2004-01-13;2004
12430;5,24646027746169;2004-01-13;2004
12430;4;2004-01-13;2004
12430;5;2004-01-13;2004
12430;7;2004-01-13;2004
12430;5;2004-01-13;2004
12430;2;2004-01-13;2004
12431;10,0457373554945;2004-01-14;2004
12431;8,29614229877518;2004-01-14;2004
12431;5,10084772880896;2004-01-14;2004
12431;7,92158184566795;2004-01-14;2004
12431;10,4648616167702;2004-01-14;2004
12431;5;2004-01-14;2004
12431;11;2004-01-14;2004
12431;9;2004-01-14;2004
12431;6;2004-01-14;2004
12431;8;2004-01-14;2004
12432;5,52794961603888;2004-01-15;2004
12432;5,01177054775136;2004-01-15;2004
12432;2,48915139572281;2004-01-15;2004
12432;9,39122149063571;2004-01-15;2004
12432;9,78732091731001;2004-01-15;2004
12432;9;2004-01-15;2004
12432;3;2004-01-15;2004
12432;7;2004-01-15;2004
12432;9;2004-01-15;2004
12432;9;2004-01-15;2004
12433;6,0020573890272;2004-01-16;2004
12433;8,28498675411595;2004-01-16;2004
12433;0,0993167497792539;2004-01-16;2004
12433;-0,444234867905136;2004-01-16;2004
12433;5,42477023966495;2004-01-16;2004
12433;7;2004-01-16;2004
12433;10;2004-01-16;2004
12433;7;2004-01-16;2004
12433;4;2004-01-16;2004
12433;10;2004-01-16;2004
12434;6,72099828082825;2004-01-17;2004
12434;5,59816879355139;2004-01-17;2004
12434;7,98577791556682;2004-01-17;2004
12434;11,0030682856737;2004-01-17;2004
12434;7,03811540944415;2004-01-17;2004
12434;2;2004-01-17;2004
12434;6;2004-01-17;2004
12434;6;2004-01-17;2004
12434;9;2004-01-17;2004
12434;4;2004-01-17;2004
12435;6,22609338742023;2004-01-18;2004
12435;6,05239592185833;2004-01-18;2004
12435;11,7426551451997;2004-01-18;2004
12435;7,29152096432868;2004-01-18;2004
12435;5,86361578868913;2004-01-18;2004
12435;8;2004-01-18;2004
12435;6;2004-01-18;2004
12435;6;2004-01-18;2004
12435;4;2004-01-18;2004
12435;10;2004-01-18;2004
12436;10,8478550543553;2004-01-19;2004
12436;4,08245778623951;2004-01-19;2004
12436;12,0127766795043;2004-01-19;2004
12436;6,47048083010037;2004-01-19;2004
12436;8,75514495980426;2004-01-19;2004
12436;7;2004-01-19;2004
12436;5;2004-01-19;2004
12436;5;2004-01-19;2004
12436;0;2004-01-19;2004
12436;2;2004-01-19;2004
12437;11,592051374559;2004-01-20;2004
12437;7,14019947968395;2004-01-20;2004
12437;10,2353072480394;2004-01-20;2004
12437;6,91557103393131;2004-01-20;2004
12437;3,58777209884422;2004-01-20;2004
12437;4;2004-01-20;2004
12437;3;2004-01-20;2004
12437;9;2004-01-20;2004
12437;9;2004-01-20;2004
12437;3;2004-01-20;2004
12438;12,1321529298472;2004-01-21;2004
12438;9,1933525727392;2004-01-21;2004
12438;11,2584355916187;2004-01-21;2004
12438;10,1648045103499;2004-01-21;2004
12438;1,78331873056663;2004-01-21;2004
12438;2;2004-01-21;2004
12438;3;2004-01-21;2004
12438;10;2004-01-21;2004
12438;4;2004-01-21;2004
12438;12;2004-01-21;2004
12439;4,43349057362992;2004-01-22;2004
12439;2,86624559267854;2004-01-22;2004
12439;7,12385083789167;2004-01-22;2004
12439;9,79555199730731;2004-01-22;2004
12439;14,5318247838148;2004-01-22;2004
12439;1;2004-01-22;2004
12439;6;2004-01-22;2004
12439;-1;2004-01-22;2004
12439;6;2004-01-22;2004
12439;7;2004-01-22;2004
12440;4,77574632224066;2004-01-23;2004
12440;5,74029563765639;2004-01-23;2004
12440;4,97976568659392;2004-01-23;2004
12440;11,6105047064039;2004-01-23;2004
12440;9,3923285203717;2004-01-23;2004
12440;9;2004-01-23;2004
12440;8;2004-01-23;2004
12440;4;2004-01-23;2004
12440;9;2004-01-23;2004
12440;10;2004-01-23;2004
12441;5,63030079696139;2004-01-24;2004
12441;5,9860887828953;2004-01-24;2004
12441;6,24236065201701;2004-01-24;2004
12441;10,6380912814762;2004-01-24;2004
12441;7,3110382195024;2004-01-24;2004
12441;5;2004-01-24;2004
12441;5;2004-01-24;2004
12441;10;2004-01-24;2004
12441;4;2004-01-24;2004
12441;2;2004-01-24;2004
12442;6,31615777691177;2004-01-25;2004
12442;1,47702006324591;2004-01-25;2004
12442;8,14947907141985;2004-01-25;2004
12442;4,55390872151431;2004-01-25;2004
12442;9,72011298295069;2004-01-25;2004
12442;8;2004-01-25;2004
12442;3;2004-01-25;2004
12442;9;2004-01-25;2004
12442;6;2004-01-25;2004
12442;6;2004-01-25;2004
12443;7,23874104721322;2004-01-26;2004
12443;2,58679939530192;2004-01-26;2004
12443;10,4484187482948;2004-01-26;2004
12443;6,09287901535075;2004-01-26;2004
12443;7,82423554105193;2004-01-26;2004
12443;7;2004-01-26;2004
12443;8;2004-01-26;2004
12443;6;2004-01-26;2004
12443;1;2004-01-26;2004
12443;10;2004-01-26;2004
12444;3,48564693469468;2004-01-27;2004
12444;4,0808075722412;2004-01-27;2004
12444;7,83367203306614;2004-01-27;2004
12444;2,42140518728423;2004-01-27;2004
12444;0,986306498347442;2004-01-27;2004
12444;8;2004-01-27;2004
12444;11;2004-01-27;2004
12444;12;2004-01-27;2004
12444;8;2004-01-27;2004
12444;7;2004-01-27;2004
12445;1,7141289874277;2004-01-28;2004
12445;10,4765611381306;2004-01-28;2004
12445;3,8335567357235;2004-01-28;2004
12445;7,98982829735199;2004-01-28;2004
12445;7,24852628290905;2004-01-28;2004
12445;6;2004-01-28;2004
12445;8;2004-01-28;2004
12445;12;2004-01-28;2004
12445;7;2004-01-28;2004
12445;10;2004-01-28;2004
12446;5,20409450630233;2004-01-29;2004
12446;6,10605298589623;2004-01-29;2004
12446;7,47546446798381;2004-01-29;2004
12446;8,25206113557629;2004-01-29;2004
12446;7,78148430032012;2004-01-29;2004
12446;7;2004-01-29;2004
12446;8;2004-01-29;2004
12446;1;2004-01-29;2004
12446;7;2004-01-29;2004
12446;1;2004-01-29;2004
12447;7,50764577836814;2004-01-30;2004
12447;6,65847462484301;2004-01-30;2004
12447;8,09338052078581;2004-01-30;2004
12447;9,12858424822029;2004-01-30;2004
12447;5,37523326112993;2004-01-30;2004
12447;13;2004-01-30;2004
12447;10;2004-01-30;2004
12447;13;2004-01-30;2004
12447;11;2004-01-30;2004
12447;5;2004-01-30;2004
12448;3,58152157166563;2004-01-31;2004
12448;10,181430959678;2004-01-31;2004
12448;13,2613427592821;2004-01-31;2004
12448;5,88100771086521;2004-01-31;2004
12448;5,83779864473003;2004-01-31;2004
12448;7;2004-01-31;2004
12448;8;2004-01-31;2004
12448;9;2004-01-31;2004
12448;11;2004-01-31;2004
12448;9;2004-01-31;2004
12449;7,3722119623781;2004-02-01;2004,08333333333
12449;3,83346400313076;2004-02-01;2004,08333333333
12449;5,18817506776897;2004-02-01;2004,08333333333
12449;3,42859067971622;2004-02-01;2004,08333333333
12449;12,4335436568088;2004-02-01;2004,08333333333
12449;5;2004-02-01;2004,08333333333
12449;10;2004-02-01;2004,08333333333
12449;11;2004-02-01;2004,08333333333
12449;7;2004-02-01;2004,08333333333
12449;7;2004-02-01;2004,08333333333
12450;5,31408386017118;2004-02-02;2004,08333333333
12450;9,2805801698406;2004-02-02;2004,08333333333
12450;5,83341760162669;2004-02-02;2004,08333333333
12450;9,23302896707444;2004-02-02;2004,08333333333
12450;8,49877205008364;2004-02-02;2004,08333333333
12450;11;2004-02-02;2004,08333333333
12450;13;2004-02-02;2004,08333333333
